Date,Close
11/2/2015,12.82
11/3/2015,12.94
11/4/2015,11.06
11/5/2015,10.39
11/6/2015,10.91
11/9/2015,10.51
11/10/2015,10.81
11/11/2015,10.12
11/12/2015,9.68
11/13/2015,9.75
11/16/2015,9.81
11/17/2015,9.45
11/18/2015,9.7
11/19/2015,9.63
11/20/2015,8.7
11/23/2015,8
11/24/2015,8.1
11/25/2015,8.23
11/27/2015,8.08
11/30/2015,8.07
12/1/2015,8.09
12/2/2015,7.74
12/3/2015,7.78
12/4/2015,7.77
12/7/2015,7.09
12/8/2015,7.09
12/9/2015,7.88
12/10/2015,8.83
12/11/2015,8.25
12/14/2015,7.85
12/15/2015,8.48
12/16/2015,8.31
12/17/2015,7.43
12/18/2015,8.01
12/21/2015,8.42
12/22/2015,9.1
12/23/2015,8.66
12/24/2015,8.63
12/28/2015,8.3
12/29/2015,8.2
12/30/2015,8.14
12/31/2015,7.98
1/4/2016,8.14
1/5/2016,8.22
1/6/2016,7.93
1/7/2016,7.3
1/8/2016,7.04
1/11/2016,6.82
1/12/2016,6.89
1/13/2016,6.74
1/14/2016,7.3
1/15/2016,6.89
1/19/2016,7.21
1/20/2016,7.1
1/21/2016,7.32
1/22/2016,7.24
1/25/2016,6.92
1/26/2016,7.77
1/27/2016,6.67
1/28/2016,6.69
1/29/2016,7
2/1/2016,7.26
2/2/2016,7.09
2/3/2016,7.53
2/4/2016,8.24
2/5/2016,7.94
2/8/2016,7.77
2/9/2016,7.34
2/10/2016,7.08
2/11/2016,6.83
2/12/2016,7.4
2/16/2016,7.49
2/17/2016,8.56
2/18/2016,8.32
2/19/2016,8.1
2/22/2016,8.48
2/23/2016,8.04
2/24/2016,7.73
2/25/2016,7.86
2/26/2016,8.31
2/29/2016,9.12
3/1/2016,9.19
3/2/2016,11.35
3/3/2016,12.35
3/4/2016,12.98
3/7/2016,13.57
3/8/2016,12.35
3/9/2016,12.53
3/10/2016,14.37
3/11/2016,14.53
3/14/2016,14.57
3/15/2016,14.28
3/16/2016,15.45
3/17/2016,15.42
3/18/2016,15.76
3/21/2016,15.15
3/22/2016,15.59
3/23/2016,14.84
3/24/2016,15.78
3/28/2016,15.57
3/29/2016,16.12
3/30/2016,16.46
3/31/2016,16.05
4/1/2016,16.55
4/4/2016,16.13
4/5/2016,16.24
4/6/2016,16.8
4/7/2016,16.01
4/8/2016,16.51
4/11/2016,17.33
4/12/2016,17.62
4/13/2016,19.02
4/14/2016,18.87
4/15/2016,19.24
4/18/2016,19.33
4/19/2016,20.04
4/20/2016,19.83
4/21/2016,19.66
4/22/2016,19.56
4/25/2016,18.25
4/26/2016,18.49
4/27/2016,18.52
4/28/2016,18.36
4/29/2016,19.11
5/2/2016,20.3
5/3/2016,18.95
5/4/2016,18.9
5/5/2016,18.95
5/6/2016,18.89
5/9/2016,16.23
5/10/2016,16.61
5/11/2016,16.52
5/12/2016,14.81
5/13/2016,13.98
5/16/2016,14.17
5/17/2016,14.13
5/18/2016,13.25
5/19/2016,13.46
5/20/2016,13.36
5/23/2016,13.82
5/24/2016,13.55
5/25/2016,14.28
5/26/2016,14.75
5/27/2016,14.38
5/31/2016,14.47
6/1/2016,14.07
6/2/2016,14.87
6/3/2016,15.28
6/6/2016,16.01
6/7/2016,15.93
6/8/2016,17.7
6/9/2016,17.44
6/10/2016,17.27
6/13/2016,17.1
6/14/2016,16.34
6/15/2016,17.64
6/16/2016,17.87
6/17/2016,17.98
6/20/2016,18.3
6/21/2016,17.4
6/22/2016,17.12
6/23/2016,18.04
6/24/2016,15.99
6/27/2016,15.15
6/28/2016,15.81
6/29/2016,15.97
6/30/2016,16.86
7/1/2016,18.27
7/5/2016,17.64
7/6/2016,17.95
7/7/2016,17.95
7/8/2016,19.03
7/11/2016,20.01
7/12/2016,21.11
7/13/2016,21.12
7/14/2016,21.28
7/15/2016,21.68
7/18/2016,21.72
7/19/2016,20.92
7/20/2016,20.38
7/21/2016,20.52
7/22/2016,21.16
7/25/2016,21.31
7/26/2016,22.95
7/27/2016,25.49
7/28/2016,26.9
7/29/2016,27.49
8/2/2016,25.69
8/3/2016,26.2
8/4/2016,25.99
8/5/2016,26.49
8/8/2016,25.83
8/9/2016,24.27
8/10/2016,23.19
8/11/2016,22.68
8/12/2016,21.06
8/15/2016,22.3
8/16/2016,21.61
8/17/2016,21.49
8/18/2016,21.81
8/19/2016,20.38
8/22/2016,20.95
8/23/2016,20.71
8/24/2016,19.92
8/25/2016,20.07
8/26/2016,19.79
8/29/2016,20.24
8/30/2016,19.51
8/31/2016,19.44
9/1/2016,19.33
9/2/2016,18.9
9/6/2016,19.48
9/7/2016,19.16
9/8/2016,18.56
9/9/2016,17.03
9/12/2016,17.43
9/13/2016,16.35
9/14/2016,16.28
9/15/2016,16.06
9/16/2016,15.91
9/19/2016,16.81
9/20/2016,16.64
9/21/2016,17.9
9/22/2016,18.2
9/23/2016,18.95
9/26/2016,19.55
9/27/2016,19.23
9/28/2016,20.13
9/29/2016,19.01
9/30/2016,18.86
10/3/2016,18.72
10/4/2016,17.52
10/5/2016,17.62
10/6/2016,17.93
10/7/2016,17.68
10/10/2016,17.95
10/11/2016,17.48
10/12/2016,17.5
10/13/2016,16.45
10/14/2016,16.42
10/17/2016,16.98
10/18/2016,17.17
10/19/2016,18.48
10/20/2016,19.46
10/21/2016,19.78
10/24/2016,19.62
10/25/2016,19.47
10/26/2016,20.09
10/27/2016,19.52
10/28/2016,19.31
10/31/2016,19.34
11/1/2016,18.71
11/2/2016,17.82
11/3/2016,19.2
11/4/2016,19.86
11/7/2016,20.63
11/8/2016,20.96
11/9/2016,24.56
11/10/2016,24.66
11/11/2016,25.71
11/14/2016,27.78
11/15/2016,28.53
11/16/2016,28.47
11/17/2016,29.17
11/18/2016,28.57
11/21/2016,28.78
11/22/2016,32.21
11/23/2016,33.06
11/25/2016,33.23
11/28/2016,32.17
11/29/2016,31.16
11/30/2016,32.34
12/1/2016,32.03
12/2/2016,33.61
12/5/2016,35.21
12/6/2016,35.95
12/7/2016,37.49
12/8/2016,37.37
12/9/2016,36.06
12/12/2016,34.78
12/13/2016,34.99
12/14/2016,35.53
12/15/2016,35.84
12/16/2016,34.7
12/19/2016,34.48
12/20/2016,36.81
12/21/2016,36.47
12/22/2016,35.77
12/23/2016,35.78
12/27/2016,36.27
12/28/2016,35.08
12/29/2016,34.87
12/30/2016,33.01
1/3/2017,34.71
1/4/2017,37.33
1/5/2017,36.08
1/6/2017,35.4
1/9/2017,33.61
1/10/2017,35.5
1/11/2017,35.2
1/12/2017,32.82
1/13/2017,32.7
1/17/2017,32.24
1/18/2017,34.93
1/19/2017,33.21
1/20/2017,33.38
1/23/2017,32.8
1/24/2017,33.22
1/25/2017,32.15
1/26/2017,33.54
1/27/2017,33.77
1/30/2017,33
1/31/2017,32.71
2/1/2017,31.33
2/2/2017,34.85
2/3/2017,33.78
2/6/2017,34.2
2/7/2017,33.8
2/8/2017,34.53
2/9/2017,37.38
2/10/2017,37.6
2/13/2017,39.71
2/14/2017,39.28
2/15/2017,39.42
2/16/2017,39.11
2/17/2017,39.8
2/21/2017,41.57
2/22/2017,40.49
2/23/2017,37.31
2/24/2017,37.01
2/27/2017,38.19
2/28/2017,38.72
3/1/2017,39.68
3/2/2017,37.39
3/3/2017,37.74
3/6/2017,37.48
3/7/2017,36.17
3/8/2017,35.96
3/9/2017,35.81
3/10/2017,34.88
3/13/2017,35.78
3/14/2017,35.72
3/15/2017,37.66
3/16/2017,37.29
3/17/2017,37.29
3/20/2017,37.1
3/21/2017,33.76
3/22/2017,34.56
3/23/2017,34.02
3/24/2017,32.82
3/27/2017,32.28
3/28/2017,33.17
3/29/2017,32.78
3/30/2017,33.87
3/31/2017,33.81
4/3/2017,33.88
4/4/2017,33.88
4/5/2017,32.64
4/6/2017,32.9
4/7/2017,33.9
4/10/2017,33.76
4/11/2017,34.72
4/12/2017,31.26
4/13/2017,29.42
4/17/2017,28.88
4/18/2017,28.73
4/19/2017,28.42
4/20/2017,30.51
4/21/2017,30.42
4/24/2017,31.2
4/25/2017,31.11
4/26/2017,22.78
4/27/2017,23.24
4/28/2017,22.32
5/1/2017,21.94
5/2/2017,21.97
5/3/2017,21.37
5/4/2017,21.28
5/5/2017,21.49
5/8/2017,21.32
5/9/2017,20.79
5/10/2017,20.97
5/11/2017,20.4
5/12/2017,20.04
5/15/2017,20.14
5/16/2017,20.2
5/17/2017,19.26
5/18/2017,19.17
